model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,truthfulqa,probe_linear,20,0.8822180529497604,0.01225865368187552,0.775,0.7759522539204302,0.9002969513199547
llama3.1-8b,truthfulqa,probe_linear,21,0.8803418803418804,0.011490109468018062,0.775,0.7773017222234985,0.9001565219673808
llama3.1-8b,truthfulqa,probe_linear,22,0.8801334167187825,0.011307109962326959,0.7875,0.789134824479652,0.9000946108918088
llama3.1-8b,truthfulqa,probe_linear,23,0.8695017719407963,0.01710672356800389,0.7791666666666668,0.7842838196286473,0.8933755473269626
llama3.1-8b,truthfulqa,probe_linear,24,0.8726287262872628,0.013416379328500379,0.7875,0.7915967783368844,0.8956370738740042
llama3.1-8b,truthfulqa,probe_linear,25,0.8665832812174276,0.023019897041443683,0.7666666666666666,0.7684995800980493,0.889471626151176
llama3.1-8b,truthfulqa,probe_linear,26,0.868042526579112,0.018747823352859846,0.7833333333333333,0.7891996891996893,0.8909834493099232
llama3.1-8b,truthfulqa,probe_linear,27,0.8657494267250364,0.01577451274746101,0.775,0.7790134898568634,0.891371111984205
llama3.1-8b,truthfulqa,probe_linear,28,0.8617886178861789,0.009728798740527924,0.775,0.7776773156519993,0.8855870868373034
llama3.1-8b,truthfulqa,probe_linear,29,0.8526162184698771,0.012656334572991855,0.7583333333333333,0.7623983739837398,0.880318965460709
llama3.1-8b,truthfulqa,probe_linear,30,0.8509485094850948,0.01317120616963206,0.7541666666666668,0.7557720057720058,0.877614065810736
llama3.1-8b,truthfulqa,probe_linear,31,0.8248905565978738,0.015344395430125455,0.7333333333333334,0.72982674551302,0.8581127325358686
llama3.1-8b,truthfulqa,probe_linear,32,0.8276005836981447,0.0012850560773334631,0.7291666666666666,0.75261917234154,0.8575160317528642
llama3.1-8b,truthfulqa,probe_mlp,0,0.5004169272461956,0.0002948120830463245,0.5041666666666667,0.4517906336088154,0.5127084636230977
llama3.1-8b,truthfulqa,probe_mlp,1,0.6599958307275381,0.023843354393884096,0.625,0.6412740589337421,0.6495317822507342
llama3.1-8b,truthfulqa,probe_mlp,2,0.7759016051698979,0.036517448199591226,0.6833333333333332,0.6594159174059538,0.8097099372846023
llama3.1-8b,truthfulqa,probe_mlp,3,0.7907025224098394,0.03031408021449216,0.7333333333333334,0.7193712563009744,0.8377749398870714
llama3.1-8b,truthfulqa,probe_mlp,4,0.7938294767563061,0.04213338113697671,0.7333333333333334,0.7373983739837399,0.8378551761225301
llama3.1-8b,truthfulqa,probe_mlp,5,0.8248905565978736,0.02915063952059761,0.725,0.7290234275528392,0.8552795889463196
llama3.1-8b,truthfulqa,probe_mlp,6,0.8488638732541172,0.024538568221075027,0.7416666666666667,0.7650920058462317,0.8873233909508244
